Company,Brief Description,Protein Category,Company Focus,Company type,Technology Focus,Product Type,Animal-Type Analog,Ingredient Type,Operating Regions,Country/Region,State,City,Website,Year Founded,Founders,Logo
NFA Foods,California-based company that produces plant-based egg and meat products,Plant-based,"Meat,Eggs,Seafood",Specialized (focused on alternative proteins),End product formulation and manufacturing,"Ground meat/seafood,Eggs","Shellfish,Pork",,U.S. and Canada,United States,California,San Diego ,https://www.nfafoods.com,2019,,NFALOGO.png (https://v5.airtableusercontent.com/v3/u/25/25/1706292000000/xIDuRM5XMsT-KKJhX1GV1g/Oim88ENJExjTh8QWyc7sc6r0sY1E1Bza-j9YWWN6PdEQR59GV5dwfsS7GnQenh2fWwENYjAd_pd5YOHdlUGWFxMjFIxhKdBiYA_dy7dCdKXnMxYc6NgGS-SJbTWYY9bmGjN8SNRcQDWQNfCHP1Ncrw/gnuvgUnPWzenUUZyUaRqv6kxyRAylsRPtAAOYV9PIJ8)
Norwegian Mycelium (NoMy),Norwegian company producing foods and materials from mycelium (the root-like filaments of fungi),Biomass fermentation,"Ingredients and inputs,Meat",Specialized (focused on alternative proteins),"End product formulation and manufacturing,Bioprocess design",Other meat/seafood,,Mushrooms,Europe,Norway,,Oslo,https://www.nomy.no,2020,"Ingrid Dynna, David Andrew Quist",NoMyLogo.png (https://v5.airtableusercontent.com/v3/u/25/25/1706292000000/mE9yhXw64FaznL625i5cBg/Zu_cDRpkNw4YawQHSsmVpulyMj6zGzXxUJGEsKe9_-fxBN_bvpfkweTwViFbhPPnzTqkZg7j7S4tNEnnbTLIdFaDda8TxGYgfPpR4RfrsKccpej1Gbjr8JYSzLNG3o8Qhk4UJuTyqMYppK1MwIfobg/HQr3nmWE2MtcqQLlp57uxhzs3IIz2eD2XIIr96pZMvQ)
Crafty Counter,"U.S.-based company that produces a variety of Indian-inspired whole-food plant-based protein products, including plant-based hard boiled eggs under the brand ""WunderEggs""",Plant-based,Eggs,Specialized (focused on alternative proteins),End product formulation and manufacturing,"Eggs,Other",,"Cashew,Almond",U.S. and Canada,United States,Texas,Austin,https://www.craftycounter.com/pages/wundereggs,2018,Hema Reddy,CraftyCounterLogo.png (https://v5.airtableusercontent.com/v3/u/25/25/1706292000000/A3HeOJN_H0_-1oA4ifQ-xQ/aG-znVHmBtxdCtKZnjlNxVoZjH1H8tCABphNXkuwzBTSEaBwCJDomZ6T9r9YQzg1byrqM7ZAZ3h-XsKB917vNs4KfQo-_tq2F_QJgER37VmC7_I1BqaR-UKifX3l9KAGo0AZHh44ycBKbYzRGAFrpTf9_8JSmMMfE-I2YXcuFFE/4NqjBuYSW_HXgGU-kf82qYrDEerbCxnJPilY7qEZWUI)
Kyomei Proteins,U.K.-based company producing proteins using plants and photosynthesis as a production system to naturally produce meat proteins,Plant molecular farming,"Ingredients and inputs,Meat",Specialized (focused on alternative proteins),Crop development,,,,Europe,United Kingdom,,London,https://kyomei.co.uk,2021,"Meir Wachs, Kyoko Morimoto ",kyomeiproteinslogo.png (https://v5.airtableusercontent.com/v3/u/25/25/1706292000000/OQqbSAAChmEmimBsWiKb4w/_s-C08lUqXjGwY7cyVKWcOs1I0X19Tqr8wcOq3jAHo3hlTcScZ8Mp_QC42juIuSBEHmI-UYpXRRm8pElVDTzj7g2NMitEqdgcv7cqRGB5wIQ3qwQQDu3BibapSLHcvT6oiZXXB9jMpNoTVXNcZbGiZGlLSIu18XNTg8aREWVLJk/pmDi44m1iWllGlkd6C-FSX71wD94MluI8dly0lpf4uE)
Real Deal Milk,Spain-based company that produces milk and dairy products using precision fermentation ,Precision fermentation,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,"Milk,Other dairy",,"Yeast,Casein,Whey",Europe,Spain,,Barcelona,https://www.realdealmilk.com,2021,Zoltan Toth-Czifra,blue-transparent-logo.png (https://v5.airtableusercontent.com/v3/u/25/25/1706292000000/bu6Lk_s6nR6mziX9n-tPWA/rK1_mo9lh8hozpHAJJFYtT0nsHSzMzX4FAhfFsHIegndul0jjnVZrkKNW1p48a5SfKWXiGsBwKr_Tl81Jx56LyyTEFuPMyQSit1IP9g60Hn7cIZoUlkDmq38Ku5gK-zdW5RJb6I9Q0i1l-3nfRoTS9mSfxsTvQWZaSQZjQAp-ak/RLyNXQfPCeBE-19PxHcqg3WPckMwtnXvTPE6YxgDu9o)
Helaina,New york-based company that produces infant milk formula components using human proteins derived from precision fermentation ,Precision fermentation,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,Other dairy,,Yeast,U.S. and Canada,United States,New York,New York ,https://www.myhelaina.com,2019,Laura Katz,Helaina_Logo-04.png (https://v5.airtableusercontent.com/v3/u/25/25/1706292000000/dfI1dsOlrRoMB1pofwvj6g/tGHfpq6f0Fshr393hcSHiAFL03eFinB1-qbwSSkEIX0iJD2qUXOS_owQXyG5mjFdIzuGexkya1YKmfYF0RRbzI4fEQq5yH7Alvy7Qay8jBq_3XojcKaPXoku50mOKmZrTjTNe8Q8QzDRLfYH9HqlRA/V74Q19DoE3aKRNJnVgGu7yyVDjyfjr4TvEElYpjlzTE)
ReMilk,Israel-based company that develops microbial fermentation technology for creating dairy products using real milk proteins,Precision fermentation,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,"Milk,Other dairy",,"Yeast,Casein",Africa/Middle East,Israel,,Tel Aviv,https://www.remilk.com,2019,"Aviv Wolff, Ori Cohavi",Logo_Remilk_1.jpg (https://v5.airtableusercontent.com/v3/u/25/25/1706292000000/j0VjCwAlHVxPu1YyVrITYw/L7r-T9ZaJsSnSJasVyafRnwg0uve_1pVff0ucmvw4WAUKTuO4EO2sirqWZ9iw8PTkd1gBeH2BdER2VZKG_VaH5s3u3kazI04rZx5o8x__hTdJWwHoXpsXjGfShJxZ8CnwwNJ9xbH5X31UkHUQKcl5A/kfJ5p9sC-Mk6bDhVKajIYnomiBR8nXNDzwkLiEwFQwo)
"DAIZ, Inc. ",Japan-based company that produces plant-based meat using plant germinated soybeans,Plant-based,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,Other meat/seafood,,Soy,Asia Pacific,Japan,,Kunamoto,https://www.daiz.inc/en/,2015,Tsuyoshi Ide,
ZhenMeat,China-based company producing domestic plant-based meat products,Plant-based,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,"Other meat/seafood,Ground meat/seafood","Beef/veal,Other","Pea,Fungi",Asia Pacific,Mainland China,,Beijing,https://zhenmeat.com/en,2017,Vince Lv,zhen_logo_b.png (https://v5.airtableusercontent.com/v3/u/25/25/1706292000000/h5RAR218lyW6nJmgjwRSHw/HhKu0O56_uptY3z4T06ozWZ0WkgdpgwU3UudWtnT5wjTuLfKorWz1gWUN3UhB9uzSI6J-yk0uKhiRM_mngAHIj2vD4jLGOkgIUdRh5M0jwM8i6sfAUdt83req1E583Qfl0vYyIWJh6T6ADma5mIS0Q/oN6Gb-IzHChYOko34S8a-LUc1gC_svtpIcNZTymRx8o)
"Hongchang Biotechnology (Suzhou) Co., Ltd.",China-based company producing and supplying a variety of plant-based meat products and food ingredients ,Plant-based,"Meat,Seafood",Specialized (focused on alternative proteins),End product formulation and manufacturing,"Other meat/seafood,Ingredients","Beef/veal,Pork,Chicken,Fish,Crab",Soy,Asia Pacific,Mainland China,,Suzhou,http://en.hongchangfood.cn/,2010,,
Let's Plant Meat,Thailand-based company that produces plant-based meat products ,Plant-based,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,Ground meat/seafood,"Beef/veal,Pork","Soy,Rice",Asia Pacific,Thailand,,,http://www.letsplantmeat.co,2019,Khun Smith Taweelerdniti,
Joes Future Food / Nanjing Zhouzi,"A high-tech company in Nanjing China that engages in cultured meat research and industrialization, including developing serum-free culture media",Cultivated,Meat,Specialized (focused on alternative proteins),"End product formulation and manufacturing,Cell line development",Ground meat/seafood,"Pork,Beef/veal",,Asia Pacific,Mainland China,,Nanjing,http://www.joesfuturefood.com,2019,Dr. Ding Shijie,26715724.png (https://v5.airtableusercontent.com/v3/u/25/25/1706292000000/uBnGeJjWGikjVyX3pxzYLA/6G__ilT3Bp4_29wDoHeR9z5fRfGB3SqH6HFTks6AJUuqGCsEwbD5VikQHulZXCb2bW_5Ri_U0fF96IorM7osnDI6zu0L0wCEkXsUnzyVtnWsraP3UkUnmw8xLv4GEDxBSOkgMTCAesXEoBVe3rugkw/pVgPiZuO0m-viNpYGJyWImhr7ErPXcziQus4NpWEhTE)
"Ningbo Sulian Food Co., Ltd.","China-based brand enterprise specializes in plant-based series products R&D, manufacturing, sales, and technological innovation",Plant-based,"Meat,Ingredients and inputs,Food processing infrastructure and equipment,Contract manufacturing/processing",Specialized (focused on alternative proteins),End product formulation and manufacturing,"Other meat/seafood,Ground meat/seafood,Ingredients",,Soy,Asia Pacific,Mainland China,,Ningbo,https://www.sulianfood.com/en/,2010,Zhang Xinliang,sulian-logo82-2.png (https://v5.airtableusercontent.com/v3/u/25/25/1706292000000/PrGl7Fjd_tAqucEXa84Ouw/ztEhgG-iWj665Mo4c-TGDGYifC31o5fyNiWjQfONVOwgy1qOpliu13b2vzSAWfc2n1KPmEZqU_YGXPmn2KypsuwDgak4L6hFFPDuF8judx5qi46INTQjafHjS3gsy5h83I2dLCrCnPwC5RuZ18YKpA/br9dlrzYRZLpV4RTZDWyqADCL9upx_QiuBejEpDKFwc)
Phuture Food,"Malaysia-based company producing plant-based meat products, including minced pork",Plant-based,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,Ground meat/seafood,"Pork,Beef/veal","Soy,Chickpea,Pea,Rice",Asia Pacific,Malaysia,,Kuala Lumpur,https://phuturemeat.com,2018,Jack Yap,
Starfield Food Science & Technology ,China-based company that produces and supplies plant-based meat products and plant proteins ,Plant-based,"Ingredients and inputs,Meat",Specialized (focused on alternative proteins),End product formulation and manufacturing,"Ground meat/seafood,Other meat/seafood","Beef/veal,Chicken,Pork,Fish","Soy,Wheat",Asia Pacific,Mainland China,,Shenzhen,https://www.starfield.cn/,2019,Liu Shuman ,Starfield logo.png (https://v5.airtableusercontent.com/v3/u/25/25/1706292000000/qCYjzLc5F2VX9qHPqwNi7g/RHcHEDqTGMfit35FNYASXZXYQHMd5MZLVPDSnPBJQuirQ61Ui_G7F4NHxL-Gf-96D7COXXqHXR4-GxyabVnZn5wNs1m6KmWLITKPIpu9g56Ri4Bcy4daG9uH5tyzjdhdsZ1dbIQXOL215D0tMPLXfA/Fx2hjAnK8F-ZiDgO6iKZ1ymDIvUj3MKB4EoILi1Gy4E)
The PlantEat,"South Korea-based company researching applications of plant-based ingredients and producing a variety of plant-based products using local Korean ""yakkong"" beans ",Plant-based,"Dairy,Other",Specialized (focused on alternative proteins),End product formulation and manufacturing,"Milk,Other dairy",,Beans,Asia Pacific,South Korea,,,http://theplanteat.com/solution/?lang=en,2017,Jaesik Yang,ThePlantEat_logo.png (https://v5.airtableusercontent.com/v3/u/25/25/1706292000000/aspBDD5j2Ri1p1JnlhRwQg/oyV4q0whVnTwydmGYNG7YGW_f686LV14UHWtX6qVwxEZ5365RAIKOuMEbibM0A315ck1wb3MrLubU4zOT6Afp5oo37buwoAzCFATDwNjtWLhtBbcXDEQ3lpfut5XsLymucPD7qbmKWtkYKA4E56HtQ/L_PXGC7lu3n8jaH2H86e1pZm0FBhsum-K0Tzt2zVaIQ)
Angel Food,New Zealand's original vegan cheese company.,Plant-based,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,"Cheese,Other dairy",,"Pea,Potato",Australia/New Zealand,New Zealand,,Auckland,https://www.angelfood.co.nz/,2006,Alice Shopland,3341_Tub_Logo copy.jpg (https://v5.airtableusercontent.com/v3/u/25/25/1706292000000/iPxS3cNoliH2Q-lCc0TEew/EGg9G8V7XwpcQ5uJVDBQOdnlflKKG9tx8m3WE5SskRX7slsWxL_fmj6elSJ5wFfbx3aMWQHwGpfP_PHCm7Ykm7oN3DhJTkPKLOwBDA5AM9rRVsRUfC7A7xWspM4P6pB_ZuFpvr931uv-THcMT7JWROSBAKmMnNweCXtZFN_Cga8/n4WWZU12DVp9qHCaF60QIyvelH5JObEdjRr5Gblz40k)
Haofood,China based company that produced alternative poultry protein. Plant-based chicken from peanut is Haofood's first innovation.,Plant-based,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,"Whole muscle meat/seafood,Ground meat/seafood,Ingredients",Chicken,"Peanut,Soy,Wheat",Asia Pacific,Mainland China,,Shanghai,www.haofood.co,2020,"Astrid Prajogo, Shaowei Liu, Jenny Zhu and Kasih Chen",1. logo color.jpg (https://v5.airtableusercontent.com/v3/u/25/25/1706292000000/UlWU30Agy7tNi-eTcsXFdw/ayDQVm4wxftRZ3HGC35SuqMqDcSZ2krDP03K1AD15buUeHpfVXwyqHGM8q2h2Miz4rbBtEDAv0CrIxWvsTmKVb2OyXiVxxUBCJmVTq-Qsgbn-fJmCRbi16hd5EFSUZPALzaoq-GBW49-RsHoWhMMFA/WRBLXZYMNT7K6zo9tR0hWdoliapYV4QxhFJgbOef7gA)
Zikooin Company,"South Korea-based company producing plant-based meat called ""Unlimeat"" using ""protein compression"" technology and ingredients that would otherwise be discarded due to cosmetic imperfections",Plant-based,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,Ground meat/seafood,Beef/veal,"Almond,Rice,Oat,Cashew",Asia Pacific,South Korea,,Seoul,www.unlimeat.com,2017,,Screenshot 2023-10-16 185814.png (https://v5.airtableusercontent.com/v3/u/25/25/1706292000000/IXI8B-gl3BcKpj-9vx8Tag/3gC8qxrezMD2ak4_2HoHu2VoWFd6Gvxd_GSWZtEQdWTrnNPSbsiuzR79_gMeeEqPywyXgcWeXKiUaRLJi3OG10Xy1hjbdEfWPkSidadRnQYHMhQ1Hw8PiBR34zMTKDeBlSWRDjc-KWyF0ba10Q-kzcKlTgSvRq_8xhOmIVmzCkg/wIjI4fxDNFNBUrqDqGaH32EjpyYUArtZPePFPqBc9JE)
"Shenzhen Whole Perfect Foods Co., Ltd. / Qishan",China-based company producing a variety of plant-based meat products. 	,Plant-based,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,"Ground meat/seafood,Other meat/seafood","Beef/veal,Chicken,Pork,Other","Soy,Pea,Algae,Mushrooms",Asia Pacific,Mainland China,,Shenzhen,http://www.qishanfoods.com/index.html,1993,"Yu Zhaode, Yuanyuan Xie",
The Mushroom Meat Co.,US-based company that produces mushroom-based meat products from upcycled mushrooms and plants for health conscious consumers.,Plant-based,"Meat,Seafood",Specialized (focused on alternative proteins),End product formulation and manufacturing,"Whole muscle meat/seafood,Ground meat/seafood,Other meat/seafood,Ingredients","Beef/veal,Chicken,Pork,Crab,Tuna","Mushrooms,Blend",U.S. and Canada,United States,North Carolina,Chapel Hill,https://www.mushroommeatco.com,2020,"Kesha Stickland, Dan Gardner",BDAC147E-995A-4CE9-9340-ED1734509F3B.png (https://v5.airtableusercontent.com/v3/u/25/25/1706292000000/LpjPHAoD4pzpeXCfih83ng/--FlWyTzDnRDDR6heEfYkPuuw7J7iHP37HZ4v_ZluLRjszlwLUojUJ330srpGlKjJNApV9DO-72v_MUhUHP-NH03cN2wuhRIb9etqZi34j5z2R7y4MiHyw6dpntKd74BOM3k6NNwfXchLuCsNtyKvETIgU59J6FcGc0T0guUwmZe2RhPZNo8hwhjnn59hO5T/j_R6HlDSAjDRRBdfz_KzQjObrp6BhRxShLz12vvHUbw)
Living Jin ,"U.S.-based company that produces agar-agar powder as a substitute for gelatin and other plant-based products for cooking, such as a powder-based cheese called ""Magic Cheese""",Plant-based,"Dairy,Ingredients and inputs",Specialized (focused on alternative proteins),End product formulation and manufacturing,"Cheese,Ingredients",,Agar agar,"Asia Pacific,U.S. and Canada",United States,California,San Jose,https://livingjin.com/,2016,Jina Kim,
Protein Meat ,China-based company that produces plant-based meat using staged temperature-controlled twin-screw extrusion technology,Plant-based,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,Ground meat/seafood,"Chicken,Beef/veal","Soy,Hemp",Asia Pacific,Mainland China,,Shenzhen,http://www.protein-meat.com/,2018,Cheng Wang,00cac01.svg (https://v5.airtableusercontent.com/v3/u/25/25/1706292000000/rxy_9uX7iCE84r2sLnM8fw/Xp8aE9mHAMkJxNY5ViwPHTA1X87n0cLZ7eJwedAfqy37u8RH2wDqfHYFrn3gMbtNO9pA7dtVhNLFruW5cFxtEyA9uDDynuCZlKVaQdZsHLoLTqEqwttgRUP3sGTi55b61Uzw4tmxbjPEG3XdEYRYLQ/j58ey9tv5BhslkYmiIhkJg95CiVa9Ik9WkQRrAZG5U4)
HEROTEIN,China-based company that produces plant-based meat using high moisture extrusion technology,Plant-based,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,"Ground meat/seafood,Other meat/seafood","Chicken,Beef/veal","Soy,Wheat,Pea",Asia Pacific,Mainland China,,Shanghai,https://heroprotein.cn/en/,2020,Yichao Weng,
Green Rebel Foods,"Indonesia-based food tech start-up producing and supplying plant-based beef and chicken from plants, with an emphasis on authentic Asian flavors ",Plant-based,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,"Ground meat/seafood,Whole muscle meat/seafood,Cheese","Beef/veal,Chicken","Soy,Mushrooms,Chickpea",Asia Pacific,Indonesia,,Tangerang Selatan,https://greenrebelfoods.com,2020,Max Mandias ,1627718977167.jpg (https://v5.airtableusercontent.com/v3/u/25/25/1706292000000/sbbVhoxIHn8WCNcNmdnNYg/K3dDdwj78O7_RosVON-TLHTGYeiRZ2s-Hvc9ekgEBvPK69_M3GvL1TyvznKz8oB8_LM_go5isLBnR3JiiAPKGJ8lc6L3pjxVWu9W5ftgAOlrZTblPvGU6fdss_6v1BbuISa1H6NEiQ-8YUWyL3JIMQ/pQutpMOkaGHsEPhAhc--sDMJvQCyvB-L8B7mcGntEWo)
New Singularity,Fermentation platform for mycelium-based alternative seafood,Biomass fermentation,Seafood,Specialized (focused on alternative proteins),End product formulation and manufacturing,,Fish,Mycelium,Asia Pacific,Mainland China,,Tianjin,https://www.brinc.io/portfolio/new-singularity/,2020,Gao Li,1690270626433.jpg (https://v5.airtableusercontent.com/v3/u/25/25/1706292000000/Ea3653-NzrlU2UmNYcxsoQ/kTUA_02nuBSVZXxH8KROy1AB5Mju08sxpqoxxVRd_RXT4niasOz2gJDYG-fJBZ26bB3gDTACL6u7xUOSsZVhp7MQmP0SwZYE-powDqDac-4d2GQACn_te0kZzHpeqQHhmm5v12aFN2I-8vlf4dQSIw/sRa3nMEv8kwArPqUVMTiIfbbY2o2eB_VTyKskKGofzo)
"Weixing Import and Export Co., Ltd.",China-based company producing plant-based meat products ,Plant-based,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,Ground meat/seafood,"Pork,Other",Soy,Asia Pacific,Mainland China,,Shaoxing,http://www.weixingmeat.com,2019,"Guangxing
  Yang",logo (7).png (https://v5.airtableusercontent.com/v3/u/25/25/1706292000000/zHv8zr5SQwZhPaL9wv6_Pg/_8AZaNafro7zYxSmoFEOCpho_fqBJNBxIgxOrz2P5GIxj8_wRQXJ1ey8PWxh2yPCUvm_zgEPUgv5VIMtCUK7Hbqw8O9Pq_E7gFQe2vWJ7vIt9Qck4THYUnr3Jmg3Nzq4nnevqB2EIZ7rD3x18tdv1A/pq4Zlad9DlNNpT8_Uc-2kpEv-OXiDQjhE8UrXWFqBeg)
Float Foods,"Singapore-based company that is producing plant-based egg products through their brand ""OnlyEg""",Plant-based,Eggs,Specialized (focused on alternative proteins),End product formulation and manufacturing,,,Pea,Asia Pacific,Singapore,,Singapore,https://www.floatfoods.com,2020,Vinita Choolani,
OsomeFood,"Singapore-based company that produces fermentation-derived seafood and egg products, including a hardboiled egg under the brand ""OsomeEgg""",Biomass fermentation,"Eggs,Seafood",Specialized (focused on alternative proteins),End product formulation and manufacturing,"Other meat/seafood,Eggs",Fish,Mycoprotein,Asia Pacific,Singapore,,Singapore ,https://www.osomefood.com,2020,Jason Fong,OsomeFood_Logo_-_Web_x60.png (https://v5.airtableusercontent.com/v3/u/25/25/1706292000000/ZGw1cckEswiqx6CuJkcPnA/pQI0hcn27gWNQRodOChvC89x1O2es0-ZaWR7aJhWwbu6KaGX3zSP6-dknByrkOH43pgYanrnRFzClD-n1-_L3HezDULMJpiu5f3lOrqdQUlM9D7EUDbsmMfAEztIhagWEvNkiuFxZUEGVmMGWhEw3PhIZ2K_i4K4j_CHzzj1EKg/wkjqmY_hwxhQHkiPx4i1d-dTPY-vfOlUINv1PvHEDQE)
Me&,Australia-based company that produces cultivated infant milk using human proteins ,Cultivated,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,,,,Australia/New Zealand,Australia,,Clayton,https://www.meandma.com.au,2021,"Esha Saxena, Luis Malaver-Ortega",1627718977167.jpg (https://v5.airtableusercontent.com/v3/u/25/25/1706292000000/f7yUrSChEtFx--6af1lJSA/qdK5xjX1I527FX-MLIrIE7HUBL_rnxc_R7ir2IwK6kU5zcWSite0gJ0x_dC2sIlqpRQO4tFiVMQ5UgZgDMAN2PzPKlKg0pBRAKTbvguPpFX-2A5NiCeOz1QPwrtnbMX3mRKf1E_kTs2UDg72x_b4xQ/MxLJpUNoQ-bBvzBEcl-w5YQRK7baub1mk9mvqv1Zjj4)
Fisch Vom Feld,German-based plant based seafood company ,Plant-based,Seafood,Specialized (focused on alternative proteins),End product formulation and manufacturing,Other,Fish,Hemp,Europe,Germany,,	Bremerhaven,https://www.fischvomfeld.de/,2020,,logo-fisch-vom-feld.png (https://v5.airtableusercontent.com/v3/u/25/25/1706292000000/7gWgBgr_BhWYS_95vND2IQ/_iNW67zSntAQncJU39v5RtJfF20vnzYjXdBhTk89p0YBqbvETRyrAKbuWP7mRd4e_5nufetLGHQr9CZhTzkNkyeEIL414zOxuA0c2syufXN1B9ktgyhLlAEjuLG2bOqDbbFAKgeHWkpmaxx2xoaxDbM2x1h9PJYR7ds8iB1EXPc/ihiBmXA12P7AUsoS7YHMHaDFqN-I1KpqWo8LRsQlFDQ)
IMA seafood,Plant based seafood company producing a plant based salmon for sushi products,Plant-based,Seafood,Specialized (focused on alternative proteins),End product formulation and manufacturing,Whole muscle meat/seafood,Fish,,Europe,United Kingdom,,,https://www.instagram.com/weareima/?hl=en,2017,,
Umiami,Plant based company producing private label whole cuts of meat. ,Plant-based,"Meat,Seafood",Specialized (focused on alternative proteins),End product formulation and manufacturing,Whole muscle meat/seafood,"Chicken,Fish",,Europe,France,,paris,https://www.umiami.com/,2020,,umiami_logo.jpg (https://v5.airtableusercontent.com/v3/u/25/25/1706292000000/ugu9kZCBrRMwGXJoO0j9Yg/r-3vSbaLlDiYk0MRYnLtlBdIF4sEHrU3EpbMk5A2S7lzGczAUgAMpeWZajyCyrcX6cu5CPg7S01bkmYL0IOB2f-F-URCOiY9W53qpi4J5Jhqm0UdEuHMmwnRA163jmFhMW2vLJK4iKy1csMBFvfw0w/MHXaj95bWqhIYk-uMv6QgmTI3aLue1hV-JZXDlVsFyw)
Save da Sea,Company producing plant-based smoked salmon,Plant-based,Seafood,Specialized (focused on alternative proteins),End product formulation and manufacturing,,Fish,,U.S. and Canada,Canada,BC,,https://www.savedasea.com/,2019,,savedasea_logo.jpg (https://v5.airtableusercontent.com/v3/u/25/25/1706292000000/bKTBC6DaHz_eNIwbRHGf5A/o8l5NJMctQEMN83R41nxGXv6Rr-4aTzsHHodBvqckHD6F8R-wUyjkh1nzzb21qlE76PI6uTleTn6aBwQvw4qLn7jgS9xwX71PSTAOHtwzZ40iOTUmn3BefB7qw1IzHYYlfils_eat4hVf2zc5XzJVw/0vd1LumjcUpJ2jvpHxzpUH3LK2cbA2xk54s66qe6AxE)
Betterfish,Company developing 100% plant-based tuna alternatives mainly created with proteins from the sea.,Plant-based,Seafood,Specialized (focused on alternative proteins),End product formulation and manufacturing,,"Fish,Tuna",,Europe,Germany,,Berlin,https://betterfish.de/,2019,,1658832761906.jpg (https://v5.airtableusercontent.com/v3/u/25/25/1706292000000/0gYstjkX3-OnHkOAePbyMA/LhT1d46INRj-UkzQag4XtxgW0vi7C9DnOj0BEkQDJ2leRQa4Ar2B82sDP0-Kz3-nMq7CMJyvcMtzHmjfRhlLmiiobBwXa56O0nSEFwLDx_ASx08ygsXqFurOTM6iS_J3MK6lTlJaJvKL8tPnUapJdg/EQ9brHPaH4xz5Wwtfv1h4iowOcT2QkUuaB6aVkzL0_Y)
Mimic Seafood,Spanish seafood company making tuna from tomatoes ,Plant-based,Seafood,Specialized (focused on alternative proteins),End product formulation and manufacturing,,Tuna,,Europe,Spain,,madrid,https://mimicseafood.com/,2019,,1644928458782.jpg (https://v5.airtableusercontent.com/v3/u/25/25/1706292000000/vFHiDtkAyc7CCGyJEWw07Q/V-S6joRJ8wY0F638wse0ex20H67efNhCwGtMovH0k8WISOti_P26aklQqlePqxNqNqEulqXdPIGTl1789d6zeEsFR2OtsVX9B3njdHjS5Y6ZO3c57FhQtuPXsDm1xJGiTOYolxRf2LCUs91EOAgMzQ/jRQ4Ee7NJgZAOjRGAWHBTpnORoHjNvjGHfHHusFDuFY)
Mozza,Developing the science to create real dairy cheese from plants ,Plant molecular farming,Dairy,Specialized (focused on alternative proteins),"Crop development,End product formulation and manufacturing,Ingredient optimization",,,,U.S. and Canada,United States,California,Los Angeles,https://www.mozzafoods.com/,2018,Adam Tarshis,umog7cd8bhh8l4a7h0aw.jpeg (https://v5.airtableusercontent.com/v3/u/25/25/1706292000000/XIh-GNvwjwkeVs1oSAIIkw/WpIb6HNRQvB9IOdQ-BB-ICGMNsVynx1tsz9dA-ksp3yhGrAzghGNP_X0RaZkNNk2lf961xJRSqZn_Ne3GcTiEuqcRdpRcIizYqyZJEktidZIs-zSsmEGm3IHDimSnahfGP70URGu9PwOSlcP7gG_PqP1pLUUPLysWh5KttLTwNc/hYFhkyES_Hv1cEv_an_QuNGriCrXPm9mPtRSXk0cJFc)
Meatafora,Israel-based company isolating and culturing farm animal stem cells inside plant-derived collagen microcarriers to produce cultivated meat,Cultivated,Meat,Specialized (focused on alternative proteins),Scaffolding and structure,,,,Africa/Middle East,Israel,,,www.meatafora.com,2021,,1644959342032.jpg (https://v5.airtableusercontent.com/v3/u/25/25/1706292000000/K70z4Lh-f14zb-mnuWBl5g/6WbPUZGkPaaQgp-THsLfetWNeESOhdxlouEG6gFEDvTZp-N3daD9FxgyTNSbD4RyAjPbqkfG2xiWKarrqv4sMXdoL3-eN4r7F2Br4fi6fCxSD90Sns-ZgrllGnidUCh7ZStlCDw4X8Jf71PjuM491A/TfvGWy4XoUq7bbbTOzYGzvX58WLB2qUqd-oKwARLIMM)
Profuse Technology,"Israel-based company developing technology for optimization of the cell differentiation, fusion and maturation production-stage of cultivated meat",Cultivated,Meat,Specialized (focused on alternative proteins),Bioprocess design,,,,Africa/Middle East,Israel,,Kiryat Shmona,https://profuse-tech.com/,2021,,1630570754444.jpg (https://v5.airtableusercontent.com/v3/u/25/25/1706292000000/XvqkaEdvMG1xE5UB5TfuHg/qNpiQKW0NraMCbV3dwajHejjKZ0Xg9UJ1H7AKPUx7hqIWqZ8CmNElc7C36-HtupYjFTFJzV9XYEkwhieEUFsxrYQdsymfAiB_DupVLrEEXjLQdNuJMjwfW24A7OW-CEzoCjMsM9EeI2FyrMD-ffIPA/P9lhPLVJGi0X7si_OGZLdUjmpDQpKQJIOcz0cuMKl4M)
